Time (s),Pitot Status Code,Differential Pressure,Temperature,Accel1 x,Accel1 y,Accel1 z,Gyro1 x,Gyro1 y,Gyro1 z,Mag1 x,Mag1 y,Mag1 z,Accel2 x,Accel2 y,Accel2 z,Gyro2 x,Gyro2 y,Gyro2 z,Mag2 x,Mag2 y,Ma2 z,Accel3 x,Accel3 y,Accel3 z,Gyro3 x,Gyro3 y,Gyro3 z,Mag3 x,Mag3 y,Mag3 z
17.6732,Error ,1.25,-50,-1.71777,0.265625,0,343.75,234.375,0,88,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.6772,Error ,1.25,-50,-1.72607,0.268555,0,320.313,218.75,0,87,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.6822,Error ,1.25,-50,-1.72119,0.26416,0,281.25,226.563,0,87,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7026,Error ,1.25,-50,-1.7207,0.268066,0,335.938,210.938,0,89,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7072,Error ,1.25,-50,-1.72021,0.264648,0,335.938,210.938,0,-172,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7122,Error ,1.25,-50,-1.71826,0.263672,0,273.438,179.688,0,-172,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7172,Error ,1.25,-50,-1.71973,0.262207,0,335.938,218.75,0,79,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7222,Error ,1.25,-50,-1.71729,0.265137,0,312.5,195.313,0,79,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7272,Error ,1.25,-50,-1.71875,0.265625,0,304.688,210.938,0,90,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7322,Error ,1.25,-50,-1.71875,0.266113,0,351.563,218.75,0,90,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7372,Error ,1.25,-50,-1.72021,0.267578,0,296.875,210.938,0,-166,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7422,Error ,1.25,-50,-1.72217,0.26416,0,289.063,210.938,0,-166,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7472,Error ,1.25,-50,-1.72021,0.265137,0,296.875,218.75,0,-169,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7522,Error ,1.25,-50,-1.71924,0.260742,0,312.5,210.938,0,-169,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7572,Error ,1.25,-50,-1.71826,0.264648,0,320.313,250,0,-167,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7622,Error ,1.25,-50,-1.71777,0.264648,0,289.063,218.75,0,-167,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7672,Error ,1.25,-50,-1.72119,0.268066,0,335.938,226.563,0,83,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7722,Error ,1.25,-50,-1.71582,0.264648,0,320.313,242.188,0,83,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7772,Error ,1.25,-50,-1.72119,0.26709,0,320.313,257.813,0,-166,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7822,Error ,1.25,-50,-1.71973,0.265625,0,289.063,203.125,0,-166,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7872,Error ,1.25,-50,-1.72217,0.265137,0,320.313,187.5,0,81,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7922,Error ,1.25,-50,-1.72168,0.266602,0,296.875,242.188,0,81,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.7972,Error ,1.25,-50,-1.72119,0.269043,0,289.063,226.563,0,89,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8022,Error ,1.25,-50,-1.72119,0.266113,0,328.125,242.188,0,89,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8072,Error ,1.25,-50,-1.72168,0.265625,0,335.938,218.75,0,88,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8122,Error ,1.25,-50,-1.7168,0.265137,0,289.063,242.188,0,88,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8171,Error ,1.25,-50,-1.72217,0.265137,0,304.688,203.125,0,-171,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8222,Error ,1.25,-50,-1.71875,0.266602,0,273.438,226.563,0,-171,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8271,Error ,1.25,-50,-1.72217,0.265625,0,304.688,195.313,0,81,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8322,Error ,1.25,-50,-1.71826,0.263184,0,312.5,203.125,0,81,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8371,Error ,1.25,-50,-1.72266,0.265625,0,328.125,203.125,0,78,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8421,Error ,1.25,-50,-1.72217,0.264648,0,312.5,226.563,0,78,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8471,Error ,1.25,-50,-1.72461,0.266602,0,328.125,226.563,0,87,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8521,Error ,1.25,-50,-1.72021,0.262207,0,320.313,226.563,0,87,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8571,Error ,1.25,-50,-1.7207,0.262695,0,320.313,226.563,0,83,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8626,Error ,1.25,-50,-1.71826,0.266113,0,304.688,250,0,83,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8671,Error ,1.25,-50,-1.71924,0.267578,0,312.5,218.75,0,89,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8721,Error ,1.25,-50,-1.71631,0.265137,0,312.5,234.375,0,89,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8771,Error ,1.25,-50,-1.72217,0.263672,0,328.125,218.75,0,90,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8821,Error ,1.25,-50,-1.72021,0.267578,0,312.5,218.75,0,90,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8871,Error ,1.25,-50,-1.71924,0.264648,0,320.313,195.313,0,-174,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8921,Error ,1.25,-50,-1.72168,0.264648,0,289.063,234.375,0,-174,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.8971,Error ,1.25,-50,-1.71436,0.263184,0,289.063,218.75,0,88,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9021,Error ,1.25,-50,-1.72266,0.266113,0,312.5,218.75,0,88,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9071,Error ,1.25,-50,-1.72119,0.26709,0,265.625,203.125,0,84,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9121,Error ,1.25,-50,-1.71973,0.266602,0,320.313,234.375,0,84,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9171,Error ,1.25,-50,-1.71973,0.268555,0,312.5,218.75,0,84,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9221,Error ,1.25,-50,-1.71973,0.268555,0,281.25,226.563,0,83,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9271,Error ,1.25,-50,-1.71875,0.268555,0,304.688,171.875,0,83,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9321,Error ,1.25,-50,-1.72119,0.266113,0,296.875,195.313,0,86,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9371,Error ,1.25,-50,-1.72021,0.265625,0,320.313,226.563,0,86,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9421,Error ,1.25,-50,-1.7168,0.26709,0,289.063,226.563,0,85,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9471,Error ,1.25,-50,-1.71924,0.268555,0,296.875,218.75,0,85,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9521,Error ,1.25,-50,-1.71826,0.268066,0,328.125,218.75,0,77,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9571,Error ,1.25,-50,-1.72363,0.263672,0,312.5,234.375,0,77,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9621,Error ,1.25,-50,-1.72168,0.269043,0,328.125,218.75,0,92,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9671,Error ,1.25,-50,-1.72021,0.267578,0,312.5,234.375,0,92,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9721,Error ,1.25,-50,-1.72363,0.264648,0,304.688,210.938,0,85,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9771,Error ,1.25,-50,-1.71924,0.266113,0,335.938,242.188,0,85,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9821,Error ,1.25,-50,-1.71973,0.26416,0,320.313,234.375,0,82,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9871,Error ,1.25,-50,-1.7207,0.263184,0,328.125,242.188,0,82,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9921,Error ,1.25,-50,-1.72266,0.26709,0,320.313,226.563,0,86,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17.9971,Error ,1.25,-50,-1.72412,0.265137,0,312.5,234.375,0,86,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0021,Error ,1.25,-50,-1.71875,0.266113,0,312.5,203.125,0,84,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0071,Error ,1.25,-50,-1.71924,0.268555,0,328.125,242.188,0,84,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0121,Error ,1.25,-50,-1.72363,0.266113,0,359.375,234.375,0,81,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0171,Error ,1.25,-50,-1.72266,0.265625,0,296.875,210.938,0,81,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0221,Error ,1.25,-50,-1.71777,0.265625,0,304.688,242.188,0,86,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0271,Error ,1.25,-50,-1.72119,0.268555,0,296.875,257.813,0,86,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0321,Error ,1.25,-50,-1.72021,0.266602,0,304.688,250,0,88,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0371,Error ,1.25,-50,-1.72168,0.265137,0,320.313,234.375,0,88,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0421,Error ,1.25,-50,-1.71973,0.266113,0,320.313,195.313,0,93,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0471,Error ,1.25,-50,-1.72461,0.264648,0,320.313,226.563,0,93,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0521,Error ,1.25,-50,-1.7207,0.266602,0,281.25,234.375,0,89,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0571,Error ,1.25,-50,-1.71875,0.265625,0,335.938,187.5,0,89,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0621,Error ,1.25,-50,-1.71729,0.267578,0,320.313,203.125,0,-174,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.0671,Error ,1.25,-50,-1.71973,0.268066,0,328.125,218.75,0,-174,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.072,Error ,1.25,-50,-1.7207,0.265625,0,343.75,242.188,0,87,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.077,Error ,1.25,-50,-1.71826,0.266602,0,312.5,234.375,0,87,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.082,Error ,1.25,-50,-1.71826,0.266113,0,328.125,234.375,0,81,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.087,Error ,1.25,-50,-1.7168,0.266602,0,304.688,257.813,0,81,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.092,Error ,1.25,-50,-1.72168,0.26416,0,312.5,218.75,0,82,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.097,Error ,1.25,-50,-1.71875,0.266602,0,304.688,218.75,0,82,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.102,Error ,1.25,-50,-1.71924,0.26416,0,296.875,234.375,0,79,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.107,Error ,1.25,-50,-1.71729,0.266602,0,281.25,234.375,0,79,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.112,Error ,1.25,-50,-1.7168,0.269043,0,281.25,226.563,0,92,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.117,Error ,1.25,-50,-1.7207,0.265625,0,320.313,210.938,0,92,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.122,Error ,1.25,-50,-1.71973,0.267578,0,328.125,218.75,0,85,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.127,Error ,1.25,-50,-1.72266,0.266602,0,304.688,242.188,0,85,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.132,Error ,1.25,-50,-1.71826,0.265625,0,312.5,210.938,0,81,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.137,Error ,1.25,-50,-1.71924,0.267578,0,335.938,218.75,0,81,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.142,Error ,1.25,-50,-1.7207,0.26709,0,312.5,234.375,0,85,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.1475,Error ,1.25,-50,-1.72217,0.265625,0,343.75,234.375,0,85,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.152,Error ,1.25,-50,-1.71973,0.266602,0,320.313,210.938,0,82,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.157,Error ,1.25,-50,-1.72168,0.26416,0,328.125,226.563,0,82,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.162,Error ,1.25,-50,-1.72217,0.264648,0,289.063,203.125,0,96,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.167,Error ,1.25,-50,-1.7168,0.258789,0,304.688,218.75,0,96,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.172,Error ,1.25,-50,-1.7207,0.26416,0,335.938,210.938,0,87,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.177,Error ,1.25,-50,-1.72266,0.267578,0,312.5,226.563,0,87,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.182,Error ,1.25,-50,-1.71729,0.263672,0,335.938,226.563,0,88,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.187,Error ,1.25,-50,-1.71973,0.266602,0,304.688,234.375,0,88,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.192,Error ,1.25,-50,-1.71973,0.270508,0,296.875,234.375,0,88,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.197,Error ,1.25,-50,-1.7207,0.26123,0,320.313,203.125,0,-173,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.202,Error ,1.25,-50,-1.72119,0.266113,0,304.688,203.125,0,-173,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.207,Error ,1.25,-50,-1.72119,0.268555,0,281.25,242.188,0,85,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.212,Error ,1.25,-50,-1.72021,0.26709,0,281.25,226.563,0,85,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.217,Error ,1.25,-50,-1.71582,0.266602,0,328.125,218.75,0,85,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.222,Error ,1.25,-50,-1.72168,0.26709,0,320.313,218.75,0,85,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.227,Error ,1.25,-50,-1.71973,0.268555,0,312.5,242.188,0,90,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.232,Error ,1.25,-50,-1.7207,0.265625,0,312.5,210.938,0,90,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.237,Error ,1.25,-50,-1.71729,0.263672,0,312.5,226.563,0,88,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.242,Error ,1.25,-50,-1.71875,0.266113,0,320.313,242.188,0,88,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.247,Error ,1.25,-50,-1.72168,0.267578,0,320.313,210.938,0,74,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.252,Error ,1.25,-50,-1.72119,0.26709,0,328.125,234.375,0,74,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.257,Error ,1.25,-50,-1.72461,0.266602,0,296.875,234.375,0,86,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.262,Error ,1.25,-50,-1.72168,0.26416,0,320.313,210.938,0,86,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.267,Error ,1.25,-50,-1.72021,0.26416,0,320.313,218.75,0,81,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.272,Error ,1.25,-50,-1.71924,0.266602,0,312.5,203.125,0,81,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.277,Error ,1.25,-50,-1.72266,0.269043,0,304.688,218.75,0,-175,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.282,Error ,1.25,-50,-1.7207,0.268066,0,296.875,226.563,0,-175,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.287,Error ,1.25,-50,-1.72168,0.26416,0,312.5,218.75,0,80,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.292,Error ,1.25,-50,-1.71777,0.263184,0,320.313,226.563,0,80,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.297,Error ,1.25,-50,-1.71924,0.26416,0,328.125,226.563,0,88,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.302,Error ,1.25,-50,-1.71826,0.27002,0,281.25,218.75,0,88,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.307,Error ,1.25,-50,-1.72119,0.266602,0,304.688,210.938,0,81,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3119,Error ,1.25,-50,-1.72168,0.263672,0,312.5,226.563,0,81,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.317,Error ,1.25,-50,-1.72363,0.26416,0,312.5,226.563,0,83,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3219,Error ,1.25,-50,-1.71875,0.27002,0,312.5,234.375,0,83,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.327,Error ,1.25,-50,-1.72266,0.264648,0,328.125,218.75,0,-170,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3319,Error ,1.25,-50,-1.72119,0.268555,0,304.688,226.563,0,-170,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3369,Error ,1.25,-50,-1.7207,0.266113,0,328.125,210.938,0,85,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3419,Error ,1.25,-50,-1.72168,0.266113,0,312.5,218.75,0,85,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3469,Error ,1.25,-50,-1.72168,0.269043,0,296.875,210.938,0,86,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3519,Error ,1.25,-50,-1.71924,0.267578,0,296.875,210.938,0,86,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3569,Error ,1.25,-50,-1.72217,0.268555,0,320.313,218.75,0,77,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3619,Error ,1.25,-50,-1.72119,0.264648,0,320.313,210.938,0,77,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3669,Error ,1.25,-50,-1.72021,0.268555,0,312.5,203.125,0,73,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3719,Error ,1.25,-50,-1.72314,0.266602,0,281.25,210.938,0,73,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3769,Error ,1.25,-50,-1.72314,0.267578,0,328.125,218.75,0,88,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3819,Error ,1.25,-50,-1.71729,0.266602,0,320.313,218.75,0,88,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3869,Error ,1.25,-50,-1.7207,0.266602,0,312.5,203.125,0,87,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3919,Error ,1.25,-50,-1.71826,0.264648,0,335.938,179.688,0,87,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.3969,Error ,1.25,-50,-1.71973,0.268555,0,289.063,226.563,0,84,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18.4019,Error ,1.25,-50,-1.72021,0.264648,0,296.875,187.5,0,84,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
